formulae,charges
['C5H11NO2'],[0]
['C12H22O11'],[0]
['C26H37N7O19P3S'],"[0, -5]"
['C13H18O7'],[0]
['C8H8O3'],[0]
['C16H18N2O4S'],[0]
['C8H12N2O3S'],[0]
['C153H246N2O83P4'],[0]
[],[0]
['C70H132N3O26P3'],[0]
['C13H18O7'],[0]
['C137H220N2O68P4'],[0]
['C68H126N2O23P2'],[0]
['C5H10O5'],[0]
['C20H22N10O14P2'],"[0, -2]"
['C11H13NO6'],[0]
['C36H54O2'],[]
['C37H56O2'],[]
"['C20H24N7O6', 'C20H23N7O6']","[-1, -2]"
['C14H20N6O5S'],[0]
['C6H6NO4'],[-1]
['C5H5N2O4'],[-1]
['C6H11O9P'],[]
['C22H31N7O17P3RS'],[]
['C38H58O3'],[]
['C15H23N3O16P2'],[-2]
"['C6H9O3S', 'C6H10O3S']","[0, -1]"
['C15H21N3O16P2'],[0]
['C112H198N2O39P2'],[-6]
['C126H219N3O72P2'],[-6]
['C8H5O7'],[-3]
['C7H6O5'],[-2]
"['C6H11O10P', 'C6H8O10P']",[0]
['C6H9O7'],[-1]
['C31H50N7O18P3S'],[-4]
['C33H54N7O18P3S'],[-4]
['C35H56N7O18P3S'],[-4]
['C29H46N7O18P3S'],[-4]
['C6H6O5'],[-2]
['C6H6O5'],[-2]
['C6H5O4'],[-1]
['C7H8O2'],[0]
['C26H38N7O17P3S'],[-4]
['C25H36N7O17P3S'],[-4]
['H3N'],[0]
['C6H11N3O3'],[0]
['C7H6O'],[0]
['C6H4O4'],[-2]
['C7H9N5O2'],[0]
['C14H24O2R'],[]
['C8H14O2R'],[]
['R'],[]
['C10H9O4'],[-1]
['C8H10'],[0]
['C5H11O3S'],[-1]
['C7H8'],[0]
['C42H52FeN8O6S2'],[]
['C8H8O3'],[0]
['C13H22NO4S2'],[-1]
"['C5H7NO3R', 'None']",[0]
['C8H10'],[0]
['C8H10'],[0]
['C7H3O7'],[-3]
"['C43H44N4O17', 'C43H43N4O17']","[-7, -6]"
['C45H53N4O14'],[-7]
['R'],[]
['C15H23N6O5Se'],[1]
['C8H7O4'],[-1]
['C8H7O4'],[-1]
['C8H8O3'],[0]
['C7H10O4'],[-2]
['C5H9NO4'],[0]
"['C3H4O2', 'C3H3O2']","[0, -1]"
['C40H54O2'],[]
['C41H56O2'],[]
['C42H54FeN8O6S2'],[]
['C36H67O8P'],[]
['C174H334O16'],[]
['C42H83O2'],[]
['C50H81O4P'],[]
['C43H71N5O10Fe'],[]
['C4H10O2S2'],[0]
['C111H208O14'],[]
['C43H81N2O11PRS'],[]
['C46H79N2O12PRS'],[]
['C35H59O6'],[]
['C39H63N8O19'],[]
['C32H63O2'],[]
['C8H12N'],[1]
['C32H66O3'],[]
['C44H68N7O18P3S'],[]
